MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs,delta,r,alpha,reduced_mag,reduced_dmag,MJDCorrected,3sig limiting mag
57650.470428,17.988,0.152,232,35,o,0,0.91,351.38219,1.05036,8422.68,1838.17,3.56,3.23,85.3,-0.483,18.57,19.39,02a57650o0470o,17.4060680453912,18.40513617846,0.3303,5.459801439571146,0.152,57650.36989893493,24.752587893338912
57650.48588200001,18.045,0.154,220,34,o,0,1.38,351.38154,1.05006,8387.51,1899.75,3.59,3.27,86.0,-0.47100000000000003,18.55,19.36,02a57650o0500o,17.406101304775,18.40514451756,0.3309,5.516796306479579,0.154,57650.385352742844,24.738395061109685
57658.407121000004,18.287,0.091,176,16,c,0,1.22,351.05802,0.89656,1475.25,3683.3,4.2,3.79,65.3,-0.391,19.54,21.46,02a57658o0367c,17.4318058354296,18.40940901548,0.7052,5.755088866307037,0.091,57658.30644328585,25.30959338239811
57658.424372,18.326,0.107,170,18,c,0,0.88,351.05732,0.8962200000000001,1455.25,3639.36,4.11,3.7,67.3,-0.40299999999999997,19.56,21.46,02a57658o0400c,17.431882997428,18.40941828126,0.7061,5.794078161351948,0.107,57658.3236938402,25.133737418987817
57670.381375,18.084,0.099,212,21,o,0,1.06,350.59991,0.6686,9253.66,3583.18,3.62,3.12,-87.0,-0.461,19.15,20.58,02a57670o0333o,17.5058369884503,18.41581810727,1.3127,5.54213051571419,0.099,57670.280269717565,25.218108876706967
57670.396613,18.496,0.136,145,20,o,0,1.16,350.59935,0.66832,9235.58,3544.57,3.54,3.03,-82.7,-0.46399999999999997,19.19,20.64,02a57670o0363o,17.5059579834325,18.41582623457,1.3134,5.954114548896346,0.136,57670.29550701875,24.8733495922753
57670.415685,18.305,0.10400000000000001,173,18,o,0,1.43,350.59865,0.66797,9294.17,3620.02,3.59,3.05,-86.3,-0.47,19.26,20.78,02a57670o0400o,17.50611001322,18.41583640667,1.3144,5.763094491487079,0.10400000000000001,57670.31457814071,25.164613514953892
57670.427040999995,18.205,0.08800000000000001,190,17,o,0,1.4,350.59823,0.66775,9320.02,3505.48,3.58,2.99,-85.4,-0.45799999999999996,19.34,20.92,02a57670o0423o,17.5062008405697,18.41584246336,1.315,5.663082511052185,0.08800000000000001,57670.32593361613,25.34599018282542
57670.432009000004,18.039,0.08199999999999999,221,18,o,0,1.16,350.59805,0.66766,9278.39,3559.69,3.57,3.03,-86.1,-0.456,19.35,20.94,02a57670o0433o,17.5062406452457,18.41584511302,1.3152,5.497077261248304,0.08199999999999999,57670.330901386245,25.42266223224155
57672.365892999995,18.344,0.17600000000000002,167,29,o,0,1.26,350.5293,0.63208,1160.17,3513.25,3.63,3.42,76.8,-0.46399999999999997,18.73,19.77,02a57672o0304o,17.5220318539221,18.41687595256,1.4097,5.799997857879683,0.17600000000000002,57672.26469418382,24.593415193665468
